source_id	source_status	support_target	edge_policy	r3_item	provenance_note
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	C6	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	C7	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-core-security_inventory	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-sec-taint_map	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-sec-worker_sandbox_policy	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-sec-spend_ledger	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-sec-local_ui_policy	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-sec-supply_chain_attestation	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-sec-aibom_manifest	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-proto-mcp_adapter_manifest	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-proto-mcp_tool_inventory	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	M-proto-a2a_peer_manifest	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-1	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-3	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-4	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-5	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-6	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-8	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-9	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-14	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-18	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-19	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-20	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-21	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-22	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-23	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-24	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-25	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-press	manual_provenance_required	R2.12	current_r3_direct	INV-26	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	C6	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	C7	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-core-security_inventory	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-sec-taint_map	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-sec-worker_sandbox_policy	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-sec-spend_ledger	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-sec-local_ui_policy	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-sec-supply_chain_attestation	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-sec-aibom_manifest	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-proto-mcp_adapter_manifest	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-proto-mcp_tool_inventory	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	M-proto-a2a_peer_manifest	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-1	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-3	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-4	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-5	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-6	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-8	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-9	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-14	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-18	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-19	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-20	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-21	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-22	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-23	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-24	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-25	provenance/nsa-cisa-ncsc.md
nsa-mcp-security-pdf	manual_provenance_required	R2.12	current_r3_direct	INV-26	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	C6	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	C7	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-core-security_inventory	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-sec-taint_map	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-sec-worker_sandbox_policy	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-sec-spend_ledger	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-sec-local_ui_policy	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-sec-supply_chain_attestation	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-sec-aibom_manifest	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-proto-mcp_adapter_manifest	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-proto-mcp_tool_inventory	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	M-proto-a2a_peer_manifest	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-1	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-3	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-4	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-5	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-6	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-8	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-9	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-14	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-18	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-19	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-20	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-21	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-22	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-23	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-24	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-25	provenance/nsa-cisa-ncsc.md
cisa-ai-landing	primary_url_confirmed	R2.12	current_r3_direct	INV-26	provenance/nsa-cisa-ncsc.md
ncsc-secure-ai-collection	primary_url_confirmed	R2.12	current_r3_direct	C6	provenance/nsa-cisa-ncsc.md
ncsc-secure-ai-collection	primary_url_confirmed	R2.12	current_r3_direct	C7	provenance/nsa-cisa-ncsc.md
ncsc-secure-ai-collection	primary_url_confirmed	R2.12	current_r3_direct	M-core-security_inventory	provenance/nsa-cisa-ncsc.md
ncsc-secure-ai-collection	primary_url_confirmed	R2.12	current_r3_direct	M-sec-taint_map	provenance/nsa-cisa-ncsc.md
ncsc-secure-ai-collection	primary_url_confirmed	R2.12	current_r3_direct	M-sec-worker_sandbox_policy	provenance/nsa-cisa-ncsc.md
ncsc-secure-ai-collection	primary_url_confirmed	R2.12	current_r3_direct	M-sec-spend_ledger	provenance/nsa-cisa-ncsc.md
ncsc-secure-ai-collection	primary_url_confirmed	R2.12	current_r3_direct	M-sec-local_ui_policy	provenance/nsa-cisa-ncsc.md
